亲和美园 大产权 电梯房 可以贷款必看好房,2室1厅 | 75.16平米 | 西南 | 毛坯 | 高楼层(共23层) | 板楼,45万5,988元/平
水溪苑 带装修 一室 诚心出售必看好房,1室1厅 | 62.95平米 | 南 | 简装 | 中楼层(共9层) | 板楼,69万10,962元/平
正荣润景湾一期，距离小区门口近，业主诚意卖必看好房,2室1厅 | 81.88平米 | 南 | 精装 | 低楼层(共25层) | 板楼,105万12,824元/平
福雅花园9楼 全阳户型 产权清晰 私产满五 随时可看必看好房,2室1厅 | 73.48平米 | 南 | 简装 | 中楼层(共18层) | 塔楼,89万12,113元/平
三室双卫 楼间距大 采光视野好 诚心出 满五唯一税费少必看好房,3室2厅 | 127.74平米 | 南 北 | 精装 | 低楼层(共27层) | 板楼,169万13,230元/平
中间楼层，南北通透，业主诚心卖，价格可以商量有钥匙必看好房,2室2厅 | 95.54平米 | 南 北 | 毛坯 | 中楼层(共20层) | 板楼,124万12,979元/平
一楼带院带车位 精装洋房，采光充足，交通便利必看好房,3室1厅 | 93.99平米 | 南 | 精装 | 低楼层(共7层) | 板楼,140万14,896元/平
贝壳金选 正荣润璟湾 前排看运河 精装修中间层两室必看好房,2室1厅 | 81.45平米 | 南 | 精装 | 中楼层(共27层) | 板楼,125万15,347元/平
电梯房 带阳台 采光不错 停车方便 生活成本低必看好房,1室1厅 | 63.72平米 | 南 | 简装 | 高楼层(共22层) | 板塔结合,52万8,161元/平
7号线两室洋房，南通通透，2楼带露台必看好房,2室2厅 | 88.39平米 | 北 南 | 其他 | 低楼层(共6层) | 板楼,96万10,861元/平
江湾广场 70年产权 功能分明 户型使用必看好房,1室1厅 | 57.45平米 | 东南 | 精装 | 低楼层(共30层) | 板楼,70万12,185元/平
华亭佳园 电梯小高 通透户型 中间楼层 价格可议必看好房,2室2厅 | 85.66平米 | 南 北 | 简装 | 中楼层(共11层) | 板楼,110万12,842元/平
东户明卫 带车位 满五唯一 无贷款 带露台必看好房,3室2厅 | 125.09平米 | 南 北 | 其他 | 中楼层(共5层) | 板楼,189万15,110元/平
正荣精装三房 全新未启 静候主人归家必看好房,3室2厅 | 94.24平米 | 南 | 简装 | 中楼层(共24层) | 板楼,140万14,856元/平
云锦观锦园二期，采光好，精装全明大两室必看好房,2室1厅 | 86.09平米 | 南 | 精装 | 高楼层(共26层) | 板楼,106万12,313元/平
单价1.2万的水西公园旁社区随时看房，诚意满满哈必看好房,2室2厅 | 116.87平米 | 南 北 | 简装 | 高楼层(共6层) | 板楼,110万9,413元/平
店长力推 瑞安里三室 带装修 拎包入住 带30平地下室必看好房,3室2厅 | 147.48平米 | 南 北 | 简装 | 中楼层(共6层) | 板楼,145万9,832元/平
福姜西里 环内洋房 三楼 明厅 满五唯一 可塑性强必看好房,1室1厅 | 61.13平米 | 南 北 | 简装 | 中楼层(共6层) | 板楼,65万10,634元/平
临地铁带电梯阳面1居室楼位好近门口交通便利必看好房,1室1厅 | 55.69平米 | 南 西 | 简装 | 低楼层(共18层) | 板楼,65万11,672元/平
两室 业主自住 精装修 随时提前联系看房必看好房,2室1厅 | 77.35平米 | 南 | 其他 | 低楼层(共18层) | 板楼,66.6万8,611元/平
此房不满两年 朝向好 交房自带装修 低总价必看好房,2室1厅 | 52.43平米 | 东 南 | 其他 | 中楼层(共30层) | 板楼,36万6,867元/平
诚心出售 金友花园边户精装修视野开阔值得购买必看好房,2室1厅 | 79.39平米 | 东 南 | 精装 | 高楼层(共18层) | 板楼,75万9,448元/平
中间楼层，景观很好，看房特方便，正常税费必看好房,3室2厅 | 177.72平米 | 南 北 | 简装 | 中楼层(共24层) | 板楼,450万25,321元/平
本房毛坯纯新未住，房主诚心出售，有钥匙看房方便必看好房,3室1厅 | 92.14平米 | 南 北 | 毛坯 | 高楼层(共18层) | 板塔结合,91万9,877元/平
此房满五唯一，精装修，房主诚意出售，家里干净必看好房,3室2厅 | 113.02平米 | 南 | 精装 | 高楼层(共5层) | 板楼,125万11,060元/平
美域豪庭商品房，1梯2户，出行方便，户型方正，诚意卖必看好房,2室1厅 | 99.61平米 | 南 北 | 简装 | 低楼层(共9层) | 板楼,188万18,874元/平
精装修，全阳户型，采光好，居住体验好必看好房,2室1厅 | 86.56平米 | 南 | 精装 | 中楼层(共11层) | 板楼,93万10,744元/平
溪悦园 一室 带装修 电梯房 急售必看好房,1室1厅 | 61.9平米 | 南 | 简装 | 高楼层(共24层) | 板楼,54万8,724元/平
满五唯一，业主诚意出售，自己住装修保持的好必看好房,2室1厅 | 82.01平米 | 南 | 其他 | 低楼层(共24层) | 板楼,95万11,584元/平
凯信佳园两室 户型方正低楼层 店长推荐您可以放心购买必看好房,2室2厅 | 98.81平米 | 南 北 | 简装 | 低楼层(共6层) | 板楼,136万13,764元/平
御溪园 全阳精装 格局方正 诚意出售必看好房,2室1厅 | 90.77平米 | 南 | 精装 | 高楼层(共18层) | 板楼,114万12,560元/平
改善来看 三室两厅 两卫 中间楼层必看好房,3室2厅 | 147.48平米 | 南 北 | 简装 | 中楼层(共6层) | 板楼,145万9,832元/平
高新区融汇精装房 全明两居 中楼层 满五年 随时过户必看好房,2室2厅 | 72.45平米 | 南 北 | 精装 | 高楼层(共25层) | 板塔结合,120.6万16,646元/平
南北通透，好楼层，视野好，精装修，诚心出售必看好房,2室1厅 | 85.89平米 | 南 北 | 精装 | 11层 | 板塔结合,116万13,506元/平
两室中间楼层随时看房诚意出售欢迎随时来电预购从速必看好房,2室1厅 | 88.59平米 | 南 北 | 精装 | 中楼层(共18层) | 板楼,108万12,191元/平
D铁次新房，中高楼层，精装修，未入住，即买即住必看好房,3室2厅 | 113.68平米 | 南 北 | 精装 | 30层 | 板塔结合,155万13,635元/平
有钥匙 随时看房 价格可谈，H通透，大厨房大餐厅必看好房,2室1厅 | 109.77平米 | 南 北 | 简装 | 中楼层(共6层) | 板楼,96万8,746元/平
业主诚心出售 价格可议 有钥匙必看好房,1室1厅 | 63.6平米 | 南 | 简装 | 中楼层(共11层) | 板楼,58万9,120元/平
电梯正规一居室、采光充足、视野好、临地铁，诚意卖必看好房,1室1厅 | 55.86平米 | 南 | 精装 | 低楼层(共25层) | 板楼,63万11,279元/平
和瑞园好楼层 好楼位 好户型 满五唯一 值得您拥有必看好房,1室1厅 | 55.86平米 | 东南 | 简装 | 中楼层(共25层) | 板楼,66万11,816元/平
国兴佳园，客厅带阳台，一室，户型好，业主急售必看好房,1室1厅 | 64.95平米 | 南 | 简装 | 高楼层(共22层) | 板塔结合,53.8万8,284元/平
店长推荐：采光好，出行方便，配套齐全必看好房,1室1厅 | 66.4平米 | 南 | 精装 | 高楼层(共16层) | 板楼,57万8,585元/平
央企自持物业，通透三室，电梯房，业主急售必看好房,3室2厅 | 89.56平米 | 南 北 | 其他 | 低楼层(共18层) | 板楼,110万12,283元/平
精装拎包住，小高电梯一居室，好楼位好楼层，随时看必看好房,1室1厅 | 65.77平米 | 南 | 精装 | 中楼层(共11层) | 板楼,66万10,035元/平
保利品质 三室双卫 满五唯一 精装修必看好房,3室2厅 | 101.78平米 | 南 | 精装 | 中楼层(共24层) | 板楼,135万13,264元/平
刚需 方正一室 总价低商品房必看好房,1室1厅 | 66.48平米 | 南 北 | 简装 | 高楼层(共18层) | 板塔结合,42万6,318元/平
梅江江湾广场一居室，诚心出售,70年，楼下配套齐全必看好房,1室1厅 | 40.81平米 | 南 北 | 简装 | 低楼层(共30层) | 板楼,58.8万14,409元/平
南北通透双阳面3楼大两室，私产可贷款业主诚心出售必看好房,2室1厅 | 98.81平米 | 南 北 | 简装 | 中楼层(共6层) | 板楼,129万13,056元/平
三室两卫，明厨明卫，南北通透好户型，诚心出售必看好房,3室2厅 | 110.28平米 | 南 北 | 精装 | 低楼层(共18层) | 板楼,113万10,247元/平
满二唯一 万科物业 业主诚心卖必看好房,2室2厅 | 85.63平米 | 南 | 其他 | 11层 | 板塔结合,119万13,897元/平
凯信佳园两室 户型方正低楼层 店长推荐您可以放心购买必看好房,2室2厅 | 98.81平米 | 南 北 | 简装 | 低楼层(共6层) | 板楼,136万13,764元/平
全阳一室改两室带阳台楼层好采光无遮挡必看好房,1室1厅 | 70.04平米 | 南 | 其他 | 中楼层(共18层) | 板楼,78万11,137元/平
近日登记的 观景房 南北通透 婚房必看好房,2室1厅 | 89平米 | 南 北 | 简装 | 中楼层(共22层) | 板楼,140万15,731元/平
万科翡翠北苑洋房中间层出售 D铁上盖 带精装修必看好房,3室2厅 | 94.9平米 | 南 北 | 精装 | 中楼层(共7层) | 板楼,179.9万18,957元/平
距离地铁站200米。私产可贷款！必看好房,1室0厅 | 28.42平米 | 南 | 精装 | 高楼层(共6层) | 板楼,28万9,853元/平
标准层 精装修 南北通透 好户型 好位置 看房方便必看好房,3室2厅 | 115.86平米 | 南 北 | 精装 | 中楼层(共5层) | 板楼,157万13,551元/平
依润园 三阳户型 好楼层 万科物业必看好房,2室2厅 | 65.95平米 | 南 | 精装 | 高楼层(共28层) | 板楼,100万15,164元/平
溪悦园 全阳户型 采光视野很好 急售必看好房,1室1厅 | 59.59平米 | 南 | 精装 | 低楼层(共24层) | 板楼,60万10,069元/平
一梯两户小高层 带车位 3米挑高 户型方正必看好房,3室2厅 | 127.87平米 | 南 北 | 其他 | 高楼层(共11层) | 塔楼,270万21,116元/平
采光好小区环境好品质高 H户型必看好房,3室2厅 | 98.25平米 | 南 北 | 其他 | 11层 | 板楼,135万13,741元/平
枫桥园 南北通透两室 明卫 出门地铁 电梯房必看好房,2室1厅 | 90.18平米 | 南 北 | 精装 | 中楼层(共18层) | 板楼,126万13,973元/平
格调平园电梯洋房 通透2室精装修 有车位必看好房,2室2厅 | 101平米 | 南 北 | 精装 | 中楼层(共9层) | 板楼,280万27,723元/平
精装两室 采光无遮挡 南向户型 近地铁5号线必看好房,2室2厅 | 91.52平米 | 南 北 | 精装 | 低楼层(共26层) | 板楼,97万10,599元/平
融泰城 洋房精装修30万一天没住过 有车位 价格可议必看好房,3室2厅 | 110.35平米 | 南 北 | 精装 | 中楼层(共7层) | 板塔结合,185万16,765元/平
户型方正 适合老人居住 出门有站牌 出行方便必看好房,2室2厅 | 91.96平米 | 南 北 | 简装 | 低楼层(共11层) | 板楼,99万10,766元/平
旭辉御府 三期 精装两室 中间楼层 随时看房必看好房,2室2厅 | 87.99平米 | 南 | 精装 | 低楼层(共30层) | 塔楼,109.5万12,445元/平
房子包大税，南北全明户型，业主一天没有住过必看好房,3室2厅 | 89.41平米 | 南 | 毛坯 | 低楼层(共18层) | 暂无数据,148万16,553元/平
金地水西印 洋房社区 次新房 环境好 没遮挡随时看房必看好房,3室2厅 | 126.96平米 | 南 北 | 毛坯 | 低楼层(共7层) | 板楼,329万25,914元/平
博园洋房三室，中间楼层带车位，满五唯一省税必看好房,3室2厅 | 89.03平米 | 南 北 | 精装 | 中楼层(共8层) | 板塔结合,126万14,153元/平
远洋万和城 三期精装全明 好楼层小三室 有地下车位必看好房,3室1厅 | 94.73平米 | 南 | 精装 | 中楼层(共24层) | 板楼,136万14,357元/平
万科物业环境幽美配套齐全交通便利必看好房,2室1厅 | 73.75平米 | 南 | 简装 | 低楼层(共16层) | 板楼,117.5万15,933元/平
梅江康城 三期洋房 户型不错 看房基本随时可以必看好房,3室2厅 | 126.24平米 | 南 | 精装 | 中楼层(共5层) | 板楼,173万13,705元/平
急售好房，满五年，配套齐全，通透的H户型，楼位好必看好房,2室2厅 | 98.4平米 | 南 北 | 精装 | 中楼层(共18层) | 板楼,185万18,801元/平
梅江康城 通透两室 电梯房 自住房子 诚意卖必看好房,2室1厅 | 91.42平米 | 南 北 | 精装 | 高楼层(共27层) | 板楼,98万10,720元/平
水溪苑后排中北大道出门地铁8号线 采光好视野好必看好房,2室1厅 | 94.67平米 | 南 | 精装 | 高楼层(共18层) | 板楼,120万12,676元/平
高新区金融街融汇 精装三居 全明通透 满五年 无尾款必看好房,3室2厅 | 89.87平米 | 南 北 | 精装 | 低楼层(共11层) | 板塔结合,156万17,359元/平
诚信出售户型好视野开阔价格可议必看好房,2室1厅 | 79.56平米 | 南 北 | 精装 | 高楼层(共18层) | 板楼,72万9,050元/平
中信好位置两室全明户型 电梯房 业主诚意出售必看好房,2室1厅 | 89平米 | 南 | 其他 | 中楼层(共30层) | 板楼,160万17,978元/平
绿城桂语朝阳 通透边户 采光好 位置好 价格可商量必看好房,3室2厅 | 89.56平米 | 南 北 | 毛坯 | 低楼层(共26层) | 板楼,100万11,166元/平
梅江富力津门湖通透两居室，楼下地铁，龙湖天街必看好房,2室1厅 | 89.33平米 | 南 北 | 精装 | 中楼层(共31层) | 板楼,173万19,367元/平
融泰城洋房中间楼层 小三室 精装修 采光巨好必看好房,3室1厅 | 91.99平米 | 南 北 | 精装 | 11层 | 板塔结合,144万15,654元/平
人车分流 过两年 位置佳 采光好 精装修 随时看房必看好房,2室1厅 | 89.07平米 | 南 北 | 精装 | 22层 | 板楼,159万17,852元/平
一室独单 精装修 南向无遮挡 采光好 视野好 满五唯一必看好房,1室1厅 | 54.34平米 | 南 | 精装 | 高楼层(共6层) | 板楼,93万17,115元/平
金谊花园 2室1厅 南必看好房,2室1厅 | 81.76平米 | 南 | 精装 | 低楼层(共26层) | 塔楼,58万7,094元/平
好楼层房子户型通透，房型好，楼间距大，采光无遮挡必看好房,2室1厅 | 79.56平米 | 南 | 其他 | 中楼层(共18层) | 板楼,73.5万9,239元/平
燕宇花园 南開籍 一楼 三室两卫 带车位 满五唯一必看好房,3室2厅 | 131.79平米 | 南 北 | 简装 | 6层 | 板楼,218万16,542元/平
金地艺墅家 电梯洋房 精装修 楼层好 采光好必看好房,3室2厅 | 90.1平米 | 南 北 | 精装 | 中楼层(共9层) | 板楼,142万15,761元/平
万达旁 3楼 无遮挡 有钥匙 满五唯一必看好房,3室2厅 | 116.3平米 | 南 北 | 其他 | 中楼层(共6层) | 板楼,99万8,513元/平
洋房三楼 带独立餐厅 不靠边 两车位必看好房,2室2厅 | 93.32平米 | 南 北 | 其他 | 中楼层(共5层) | 板楼,169万18,110元/平
扩景三向窗 精装房 近小区门口 大门公园 地暖阁楼必看好房,3室2厅 | 105.17平米 | 南 西 北 | 精装 | 高楼层(共7层) | 板楼,189万17,971元/平
业主产权清晰 毛坯房 通透户型 没住过人必看好房,2室1厅 | 94.4平米 | 南 北 | 其他 | 低楼层(共24层) | 板楼,135万14,301元/平
业主诚心出售，通风好，装修保持不错必看好房,2室1厅 | 87.79平米 | 南 | 精装 | 中楼层(共11层) | 板塔结合,112万12,758元/平
南岸家园带电梯总价低业主诚意出售必看好房,1室1厅 | 50.54平米 | 南 | 毛坯 | 24层 | 板楼,38万7,519元/平
万科翡翠现房 即买即住 业主诚心出售 中间楼层必看好房,3室2厅 | 111.03平米 | 南 | 精装 | 27层 | 板塔结合,199万17,924元/平
位置好，不临街，院子大，诚意出售必看好房,6室3厅 | 306.51平米 | 南 北 | 简装 | 2层 | 板楼 | 独栋别墅,550万17,944元/平
两室低楼层带装修随时看房诚意出售欢迎随时看房必看好房,2室1厅 | 90.96平米 | 南 北 | 其他 | 低楼层(共24层) | 板楼,93万10,225元/平
环境好 阳面户型 全明格局好 采光好必看好房,2室1厅 | 93.75平米 | 南 | 其他 | 低楼层(共24层) | 板楼,122万13,014元/平
保利罗兰全阳明堂视野好精装诚意卖随时签约必看好房,3室1厅 | 106.73平米 | 南 北 | 精装 | 中楼层(共8层) | 板楼,172万16,116元/平
房源采光好，出行方便，配套齐全，大三室，必看好房,3室1厅 | 132.62平米 | 南 北 | 简装 | 高楼层(共15层) | 板楼,139.9万10,549元/平
嘉郡花园 通透两室 观水系公园 价格有优势 别看报价必看好房,2室2厅 | 86.54平米 | 南 | 精装 | 高楼层(共26层) | 板楼,154万17,796元/平
溪悦园 一室 带装修 电梯房 急售必看好房,1室1厅 | 61.9平米 | 南 | 简装 | 高楼层(共24层) | 板楼,54万8,724元/平
万科两室 精装修 全阳户型 采光好 视野开阔 看房方便必看好房,2室1厅 | 70.16平米 | 南 | 其他 | 高楼层(共32层) | 板塔结合,102万14,539元/平
新上富力湾 人车分流 4居全明户型 中间楼层 停车方便必看好房,4室2厅 | 172.29平米 | 南 北 | 精装 | 低楼层(共28层) | 板楼,283万16,426元/平
人和院 电梯房 南北通透 好楼层 自住 诚意卖 看房方便必看好房,2室1厅 | 95.36平米 | 南 北 | 其他 | 高楼层(共11层) | 板楼,108万11,326元/平
龙居一楼精装出行方便两室 拎包入住随时看房必看好房,2室1厅 | 78.84平米 | 南 | 精装 | 低楼层(共6层) | 板楼,77万9,767元/平
精装修一年半，没住过人，拎包入住无需担心甲醛必看好房,3室1厅 | 97.59平米 | 南 | 精装 | 15层 | 板塔结合,148万15,166元/平
溪竹苑 经典一室 采光好 位置佳 随时看房必看好房,1室1厅 | 60.81平米 | 南 | 简装 | 高楼层(共22层) | 板楼,48万7,894元/平
满五有二套无尾款，小高层，1梯2户，厨卫全明必看好房,2室1厅 | 96.71平米 | 南 北 | 精装 | 中楼层(共9层) | 板楼,185万19,130元/平
此房源满五年无大税，精装修次新房，拎包入住必看好房,4室1厅 | 125.93平米 | 南 | 精装 | 27层 | 板塔结合,166万13,182元/平
南北通透，好楼层，视野好，精装修，诚心出售必看好房,2室1厅 | 85.89平米 | 南 北 | 精装 | 11层 | 板塔结合,116万13,506元/平
两室中间楼层随时看房诚意出售欢迎随时来电预购从速必看好房,2室1厅 | 88.59平米 | 南 北 | 精装 | 中楼层(共18层) | 板楼,108万12,191元/平
改善来看 三室两厅 两卫 中间楼层必看好房,3室2厅 | 147.48平米 | 南 北 | 简装 | 中楼层(共6层) | 板楼,145万9,832元/平
高新区融汇精装房 全明两居 中楼层 满五年 随时过户必看好房,2室2厅 | 72.45平米 | 南 北 | 精装 | 高楼层(共25层) | 板塔结合,120.6万16,646元/平
D铁次新房，中高楼层，精装修，未入住，即买即住必看好房,3室2厅 | 113.68平米 | 南 北 | 精装 | 30层 | 板塔结合,155万13,635元/平
精装洋房 一梯两户 通透大两居 采光无遮挡 停车免费必看好房,2室1厅 | 89.96平米 | 南 北 | 精装 | 中楼层(共11层) | 板楼,99万11,005元/平
精装修 好楼层 业主诚心出售 小区环境安静必看好房,1室1厅 | 66.47平米 | 南 北 | 简装 | 高楼层(共18层) | 板楼,51.5万7,748元/平
御溪园 全阳精装 格局方正 诚意出售必看好房,2室1厅 | 90.77平米 | 南 | 精装 | 高楼层(共18层) | 板楼,114万12,560元/平
金地艺墅家 电梯洋房 精装修 楼层好 采光好必看好房,3室2厅 | 90.1平米 | 南 北 | 精装 | 中楼层(共9层) | 板楼,142万15,761元/平
有钥匙 随时看房 价格可谈，H通透，大厨房大餐厅必看好房,2室1厅 | 109.77平米 | 南 北 | 简装 | 中楼层(共6层) | 板楼,96万8,746元/平
中间层 着急卖诚意出 无个税 看房便利 价格可谈配套全必看好房,2室2厅 | 81.45平米 | 南 北 | 其他 | 高楼层(共18层) | 板楼,100万12,278元/平
瀚波园通透全明两室前后临湖精装修必看好房,2室1厅 | 89.14平米 | 南 北 | 精装 | 高楼层(共27层) | 板楼,220万24,681元/平
盛和嘉园 双阳户型 毛坯房 带电梯必看好房,2室1厅 | 70.09平米 | 南 | 毛坯 | 25层 | 板塔结合,59万8,418元/平
金友花园一室 精装修 拎包入住 业主诚心卖必看好房,1室1厅 | 60.93平米 | 东南 | 精装 | 低楼层(共18层) | 板楼,48万7,878元/平
翡翠南苑一期，双阳+1户型，位置好，楼层好，无个税必看好房,3室1厅 | 111.05平米 | 南 北 | 精装 | 27层 | 板楼,167万15,039元/平
小高层 电梯房 满五唯一 价格可谈 非顶楼 诚心卖必看好房,2室1厅 | 84.12平米 | 南 | 精装 | 高楼层(共11层) | 板楼,106万12,602元/平
业主产权清晰 毛坯房 通透户型 没住过人必看好房,2室1厅 | 94.4平米 | 南 北 | 其他 | 低楼层(共24层) | 板楼,135万14,301元/平
盛和嘉园 一室精装修 电梯房 采光充足必看好房,1室1厅 | 66.06平米 | 南 | 精装 | 29层 | 板塔结合,52万7,872元/平
电梯房 近地铁在建8号线 小户型总价低必看好房,1室1厅 | 55.69平米 | 南 | 简装 | 低楼层(共18层) | 板楼,58万10,415元/平
美的旭辉瀚悦府 满两年 采光视野好，价格合适必看好房,2室2厅 | 86.79平米 | 南 北 | 精装 | 26层 | 板塔结合,128万14,749元/平
此房过5年南北通透格局钻石楼层必看好房,2室1厅 | 93.17平米 | 南 北 | 毛坯 | 中楼层(共6层) | 板楼,110万11,807元/平
此房精装修 楼层好 户型通透 采光好 房主诚心出售必看好房,3室1厅 | 99.93平米 | 南 北 | 精装 | 15层 | 板塔结合,142万14,210元/平
一楼 一楼 一楼 位置好 满五唯一 毛坯房必看好房,2室1厅 | 79.39平米 | 东南 | 其他 | 低楼层(共18层) | 板楼,68万8,566元/平
楼下就是湖面，小区门口就是公园，小区内近千平草坪必看好房,3室2厅 | 169.03平米 | 南 北 | 精装 | 高楼层(共30层) | 板楼,354万20,944元/平
洋房，边户，中间位置和楼层，无个税，看房方便必看好房,3室1厅 | 119.51平米 | 南 北 | 精装 | 8层 | 板塔结合,155万12,970元/平
万达旁 3楼 无遮挡 有钥匙 满五唯一必看好房,3室2厅 | 116.3平米 | 南 北 | 其他 | 中楼层(共6层) | 板楼,99万8,513元/平
市内六区私产房 可贷款 中间楼层必看好房,1室1厅 | 43.07平米 | 南 | 简装 | 中楼层(共6层) | 板楼,50万11,610元/平
诚意出售。文瑞家园两室，电梯房，楼层好，视野开阔必看好房,2室1厅 | 50.57平米 | 南 | 其他 | 低楼层(共18层) | 板塔结合,37万7,317元/平
社会山南苑，自住精装好楼层三室，业主诚售，看房随时必看好房,3室2厅 | 93.74平米 | 南 | 精装 | 中楼层(共20层) | 板楼,110万11,735元/平
南站万科边户 H+1精装好楼层 配套齐全必看好房,3室2厅 | 92.82平米 | 南 北 | 精装 | 低楼层(共18层) | 板塔结合,127万13,683元/平
万科洋房 88%出房率 市场价诚心出售 自住保持好必看好房,3室1厅 | 115.28平米 | 南 北 | 其他 | 中楼层(共5层) | 板塔结合,169万14,660元/平
通透三室，下楼地铁，配套齐全，中间楼层必看好房,3室2厅 | 127.38平米 | 南 北 | 精装 | 低楼层(共31层) | 板楼,259万20,333元/平
金隅满堂 电梯洋房一梯两户 毛坯房 有钥匙必看好房,2室1厅 | 91.63平米 | 南 | 其他 | 中楼层(共11层) | 板楼,145万15,825元/平
洋房精装装修，全明户型，边户带小院带地下室必看好房,5室2厅 | 105.39平米 | 南 北 | 其他 | 低楼层(共11层) | 板楼,238万22,583元/平
户型稀有 可遇不可求，阳面临湖观景，视野开阔 无遮挡必看好房,4室2厅 | 274.37平米 | 南 北 | 精装 | 高楼层(共20层) | 板楼,700万25,513元/平
金灿私产过五年跃层三室7号地铁必看好房,3室1厅 | 79.66平米 | 南 北 | 精装 | 低楼层(共18层) | 板楼,93万11,675元/平
此房过两年 带九年物业费 精装修 楼层好 无遮挡必看好房,3室2厅 | 96.21平米 | 南 北 | 精装 | 18层 | 板塔结合,168万17,462元/平
满五唯一，业主诚意出售，自己住装修保持的好必看好房,2室1厅 | 82.01平米 | 南 | 其他 | 低楼层(共24层) | 板楼,95万11,584元/平
业主产权清晰 毛坯房 通透户型 没住过人必看好房,2室1厅 | 94.4平米 | 南 北 | 其他 | 低楼层(共24层) | 板楼,135万14,301元/平
精装修跃层中间楼层，采光好，业主诚心出售随时看房必看好房,2室1厅 | 87.58平米 | 南 北 | 精装 | 中楼层(共18层) | 板楼,75.6万8,633元/平
万科物业环境幽美配套齐全交通便利必看好房,2室1厅 | 73.75平米 | 南 | 简装 | 低楼层(共16层) | 板楼,117.5万15,933元/平
时代豪庭 三室两卫，通透户型，采光很好必看好房,3室1厅 | 134.7平米 | 南 北 | 简装 | 高楼层(共5层) | 板楼,112万8,315元/平
低楼层 南北通透 采光无遮挡 业主诚心出售必看好房,2室2厅 | 85.47平米 | 南 北 | 简装 | 低楼层(共6层) | 板楼,128万14,977元/平
南岸家园！一室南向房源！总价便宜必看好房,1室1厅 | 56.17平米 | 南 | 简装 | 24层 | 板楼,35万6,232元/平
清枫园洋房两室，全明户型 错层设计必看好房,2室2厅 | 90.61平米 | 南 北 | 其他 | 高楼层(共6层) | 板楼,107万11,809元/平
文瑞家园，大一室户型，方正，客厅卧室都是阳面必看好房,2室1厅 | 66.63平米 | 南 北 | 简装 | 中楼层(共30层) | 暂无数据,48.5万7,280元/平
保利尚林苑 边户通透三室 采光好无遮挡必看好房,3室2厅 | 89.56平米 | 南 | 简装 | 中楼层(共18层) | 板楼,128万14,293元/平
此房满五唯一 视野宽阔 前无遮挡 毛坯房 方便装修必看好房,2室1厅 | 91.47平米 | 南 | 毛坯 | 中楼层(共18层) | 板塔结合,70万7,653元/平
新登记，中间楼层，双阳户型，保持好必看好房,2室1厅 | 87.79平米 | 南 | 精装 | 中楼层(共24层) | 板塔结合,168万19,137元/平
金地四期 边户 业主急售 价格可议 看房随时 通地库必看好房,3室1厅 | 122.72平米 | 南 北 | 毛坯 | 7层 | 板楼,199万16,216元/平
梅江富力津门湖通透两居室，楼下地铁，龙湖天街必看好房,2室1厅 | 89.33平米 | 南 北 | 精装 | 中楼层(共31层) | 板楼,173万19,367元/平
精装两室 东西厅 好楼层 采光好 南北通透格局必看好房,2室1厅 | 91.67平米 | 南 北 | 其他 | 中楼层(共24层) | 板楼,85万9,273元/平
高新区金融街融汇 精装三居 全明通透 满五年 无尾款必看好房,3室2厅 | 89.87平米 | 南 北 | 精装 | 低楼层(共11层) | 板塔结合,156万17,359元/平
水溪苑后排中北大道出门地铁8号线 采光好视野好必看好房,2室1厅 | 94.67平米 | 南 | 精装 | 高楼层(共18层) | 板楼,120万12,676元/平
南岸家园！一室南向房源！总价便宜必看好房,1室1厅 | 56.17平米 | 南 | 简装 | 24层 | 板楼,35万6,232元/平
低楼层 南北通透 采光无遮挡 业主诚心出售必看好房,2室2厅 | 85.47平米 | 南 北 | 简装 | 低楼层(共6层) | 板楼,128万14,977元/平
精装修跃层中间楼层，采光好，业主诚心出售随时看房必看好房,2室1厅 | 87.58平米 | 南 北 | 精装 | 中楼层(共18层) | 板楼,75.6万8,633元/平
文瑞家园，大一室户型，方正，客厅卧室都是阳面必看好房,2室1厅 | 66.63平米 | 南 北 | 简装 | 中楼层(共30层) | 暂无数据,48.5万7,280元/平
绿城桂语朝阳 通透边户 采光好 位置好 价格可商量必看好房,3室2厅 | 89.56平米 | 南 北 | 毛坯 | 低楼层(共26层) | 板楼,100万11,166元/平
顺通家园 2楼 楼间距大 采光视野好 看房方便 急售必看好房,1室1厅 | 54.09平米 | 南 | 简装 | 低楼层(共29层) | 板楼,49万9,059元/平
清枫园洋房两室，全明户型 错层设计必看好房,2室2厅 | 90.61平米 | 南 北 | 其他 | 高楼层(共6层) | 板楼,107万11,809元/平
时代豪庭 三室两卫，通透户型，采光很好必看好房,3室1厅 | 134.7平米 | 南 北 | 简装 | 高楼层(共5层) | 板楼,112万8,315元/平
11楼 南北通风 带2个车位 产权清晰随时看房必看好房,2室1厅 | 91.2平米 | 南 北 | 其他 | 中楼层(共24层) | 板楼,105万11,514元/平
梅江康城 三期洋房 户型不错 看房基本随时可以必看好房,3室2厅 | 126.24平米 | 南 | 精装 | 中楼层(共5层) | 板楼,173万13,705元/平
燕宇花园 南開籍 一楼 三室两卫 带车位 满五唯一必看好房,3室2厅 | 131.79平米 | 南 北 | 简装 | 6层 | 板楼,218万16,542元/平
龙顺园精装一室好楼层，宽敞明亮大一室，视野好必看好房,1室1厅 | 55.55平米 | 东北 | 其他 | 高楼层(共26层) | 板楼,37万6,661元/平
